id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,
98ea1aea-0b4a-4824-af47-55e647662459,0,M,239,225,1,0,13,1388.0,758.26667,411.725,370.88333,347.98,333.27708,328.45167,302.8,280.11389,8.29894,5.52349,5.21352,4.80635,4.44625,
f6222fea-7e24-4483-9576-b56661f6d139,50,F,57,57,0,0,0,472.0,404.2,218.85,218.1,210.92333,198.00208,185.94,170.185,157.50667,19.02273,15.98273,15.54545,14.60705,14.02288,
ee639b1f-5693-4c9c-bbbe-282f8717844f,47,M,641,43,0,0,598,2325.0,1012.86667,438.93333,413.5,374.42667,352.91875,343.33833,322.24417,312.13444,7.36636,4.91374,4.50575,4.22893,4.09625,
532df66e-9ccf-4dcd-9598-d389baf1a1f8,-1,M,343,338,5,0,0,1371.0,1096.6,440.625,435.05556,361.06667,333.22917,327.995,314.9325,294.92167,6.46896,3.96777,3.60434,3.4608,3.23563,
95d89570-8ca3-4efc-9360-8a2b92b812bb,-50,M,925,441,73,0,411,1197.0,964.53333,471.8,382.53333,349.35,339.77917,329.34667,296.23917,288.92611,8.25352,4.92042,4.63869,4.17238,4.06938,
fd1a5707-9b3a-41e5-8b29-db754d4ccec8,37,M,1094,814,3,0,277,1014.0,780.6,372.88333,342.37222,341.33333,298.54375,297.72833,294.01333,270.38583,8.02628,5.74007,5.0573,4.9942,4.58064,
8c6fd880-149c-4484-9655-7912ec7564b9,43,M,35,34,1,0,0,744.0,401.86667,223.59167,210.21111,209.26333,182.31875,168.645,153.43917,151.86333,3.75661,3.32164,2.6769,2.43554,2.41053,
041bc51a-ded5-4548-be69-73e36b0d299b,47,M,147,147,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0f759ea7-2b96-4a2e-8286-8f8685b166d4,49,M,81,80,0,0,1,2054.0,668.13333,310.75,282.7,264.87667,243.87917,242.64833,222.75167,216.65778,5.65399,3.73066,3.41758,3.13735,3.05152,
c3c14361-3f93-4413-8da6-1e017b0b5393,39,M,1327,543,2,0,782,1602.0,939.93333,457.3,410.72222,379.15,349.97708,345.35667,320.34917,309.88056,7.73684,5.1585,4.66068,4.3232,4.18192,
7fa42114-cbc3-4222-83b7-c0495b357b3c,46,M,201,156,0,0,45,668.202,474.07867,249.71979,223.38909,209.38611,197.84357,191.46409,173.23922,164.80753,3.24886,2.52577,2.30958,2.06237,1.98803,
ac06fd8c-b873-4f47-bf92-b7cec1baa25a,51,M,1282,16,0,0,1266,1000.0,1898.59173,792.03446,760.55392,607.80364,539.49619,538.63578,441.32155,383.55624,13.76892,8.26944,7.32838,6.00437,5.21845,
